week,sentiment_5bin,count,share
2024-10-14 00:00:00+00:00,negative,587,0.1944352434580987
2024-10-14 00:00:00+00:00,neutral,793,0.2626697581980788
2024-10-14 00:00:00+00:00,positive,889,0.29446836700894335
2024-10-14 00:00:00+00:00,very_negative,331,0.1096389532957933
2024-10-14 00:00:00+00:00,very_positive,419,0.1387876780390858
2024-10-21 00:00:00+00:00,negative,556,0.2199367088607595
2024-10-21 00:00:00+00:00,neutral,625,0.24723101265822786
2024-10-21 00:00:00+00:00,positive,699,0.276503164556962
2024-10-21 00:00:00+00:00,very_negative,308,0.12183544303797468
2024-10-21 00:00:00+00:00,very_positive,340,0.13449367088607594
2024-10-28 00:00:00+00:00,negative,632,0.2065359477124183
2024-10-28 00:00:00+00:00,neutral,860,0.28104575163398693
2024-10-28 00:00:00+00:00,positive,856,0.2797385620915033
2024-10-28 00:00:00+00:00,very_negative,269,0.08790849673202615
2024-10-28 00:00:00+00:00,very_positive,443,0.14477124183006537
2024-11-04 00:00:00+00:00,negative,1006,0.1686221924237345
2024-11-04 00:00:00+00:00,neutral,1705,0.2857861213543413
2024-11-04 00:00:00+00:00,positive,1843,0.3089171974522293
2024-11-04 00:00:00+00:00,very_negative,458,0.0767683540060342
2024-11-04 00:00:00+00:00,very_positive,954,0.15990613476366075
2024-11-11 00:00:00+00:00,negative,601,0.2067423460612315
2024-11-11 00:00:00+00:00,neutral,779,0.2679738562091503
2024-11-11 00:00:00+00:00,positive,830,0.2855177158582731
2024-11-11 00:00:00+00:00,very_negative,301,0.10354317165462676
2024-11-11 00:00:00+00:00,very_positive,396,0.13622291021671826
2024-11-18 00:00:00+00:00,negative,720,0.19928037641848878
2024-11-18 00:00:00+00:00,neutral,924,0.25574314973706064
2024-11-18 00:00:00+00:00,positive,979,0.27096595626902853
2024-11-18 00:00:00+00:00,very_negative,450,0.1245502352615555
2024-11-18 00:00:00+00:00,very_positive,540,0.1494602823138666
2024-11-25 00:00:00+00:00,negative,790,0.21981079577072898
2024-11-25 00:00:00+00:00,neutral,844,0.23483583750695602
2024-11-25 00:00:00+00:00,positive,955,0.2657206455203116
